Discipline,Academic level,Self-evaluation,Human VS Zombie,Human VS 5 Zombies,Red Machine VS Zombie,Pain Machine VS Zombie,Pain Machine,Pleasure Machine VS Zombie,Kill VS Zombify (other),Kill VS Zombify (self),Meta-ethical stance,Ethical stance,Monism VS Pluralism,Explanatory stance
Neuroscience,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",No,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Switch off your life support.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Other,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Moral realism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Other,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Nihilism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Philosophy,Master's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
None,None,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Switch off their life support.,Switch off your life support.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Cognitive psychology,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Become a philosophical zombie.,Moral realism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
None,Bachelor's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Unsure/none,Unsure/none,Eliminativism/illusionism.
None,None,2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Unsure/none,Unsure/none,Unsure/none.
Cognitive psychology,Master's degree,5,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Consequentialist ethics,Unsure/none,Eliminativism/illusionism.
Philosophy,Master's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Switch off their life support.,Switch off your life support.,Anti-realism/subjectivism/relativism,Other,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Other
Philosophy,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Moral realism,Other,Value monism (There is only one ethical value/good shared by all valued/good things.),Dualism
Other,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Other,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Other
None,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.",Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.",Indifferent (the scientist will randomly choose.),Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Indifferent (the scientist chooses one randomly.),Nihilism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Master's degree,2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Switch off their life support.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
None,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Switch off their life support.,Switch off your life support.,Moral realism,Virtue ethics,Unsure/none,Unsure/none.
Cognitive psychology,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Nihilism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Virtue ethics,Unsure/none,Physicalism
Neuroscience,Bachelor's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Other,Consequentialist ethics,Unsure/none,Dualism
Philosophy,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.",Indifferent (the scientist will randomly choose.),Yes,Indifferent (the scientist will randomly choose.),Switch off their life support.,Switch off your life support.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the P zombie being in room A.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Nihilism,Unsure/none,Unsure/none,Physicalism
None,Undergraduate (you have been or are in training but you have no diploma),5,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
None,Undergraduate (you have been or are in training but you have no diploma),2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Unsure/none,Unsure/none,Unsure/none.
None,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Philosophy,Master's degree,2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Nihilism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Other,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room A switch turning off the P zombie being’s life support, preserving the machine with a single constant experience of pain.",No,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Unsure/none,Unsure/none,Unsure/none.
Philosophy,Bachelor's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),Indifferent (the scientist will randomly choose.),Indifferent,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Virtue ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Other
Philosophy,Bachelor's degree,3,"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the P zombie being in room A.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Switch off your life support.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Other,Bachelor's degree,3,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Other,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Eliminativism/illusionism.
None,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Other,Doctorate,1,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Doctorate,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Unsure/none,Unsure/none,Unsure/none,Physicalism
None,Doctorate,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Other,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",No,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Master's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Other,Unsure/none,Physicalism
None,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Unsure/none,Unsure/none.
Philosophy,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Other,Master's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Other,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Cognitive psychology,Master's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Switch off your life support.,Nihilism,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Eliminativism/illusionism.
None,Doctorate,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",No,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Switch off their life support.,Switch off your life support.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.",,Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Become a philosophical zombie.,Unsure/none,Consequentialist ethics,Unsure/none,Unsure/none.
Other,Undergraduate (you have been or are in training but you have no diploma),2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Anti-realism/subjectivism/relativism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
